Heading,Link,Summary
IGNOU to offer 4 courses to weavers’ family for free of cost,http://timesofindia.indiatimes.com/home/education/news/IGNOU-to-offer-4-courses-to-weavers-family-for-free-of-cost/articleshow/55266559.cms,BHUBANESWAR: Indira Gandhi National Open University (IGNOU) has decided to offer four of its certificate courses for free of cost to family members of weavers of two western Odisha villages.
"Money matters! It's high time you earned enough revenue: Modi government to IITs, IIMs",http://timesofindia.indiatimes.com/home/education/news/Money-matters-Its-high-time-you-earned-enough-revenue-Modi-government-to-IITs-IIMs/articleshow/55125735.cms,NEW DELHI: It's high time you earned enough revenue. That’s what the Narendra Modi government has conveyed to all statefunded institutes ranging from the IITs and IIMs to even the National School of Drama and public museums as part of a move to nudge them towards self-sustenance.
"HRD panel suggests ways to avoid vacancies in IITs, institutes",http://timesofindia.indiatimes.com/home/education/news/HRD-panel-suggests-ways-to-avoid-vacancies-in-IITs-institutes/articleshow/54686705.cms,NEW DELHI: HRD ministry set up a three-member committee on Tuesday to suggest measures to avoid vacancies during admission in IITs and other central government funded technical institutes.
Prakash Javadekar pledges to 'improve' quality of higher education,http://timesofindia.indiatimes.com/home/education/news/Prakash-Javadekar-pledges-to-improve-quality-of-higher-education/articleshow/54720815.cms,"VARANASI: Pledging to ""improve"" the quality of higher education in the country during a review meeting with 41 Vice Chancellors of Central Universities, Union Human Resource Development Prakash Javadekar today said only nations with great universities will prosper."
UGC seeks public feedback on establishment of world class institutions,http://timesofindia.indiatimes.com/home/education/news/UGC-seeks-public-feedback-on-establishment-of-world-class-institutions/articleshow/54757618.cms,"AURANGABAD: The University Grants Commission (UGC) has sought suggestions or objections, if any, on a policy document on Establishment of World Class Institutions."
Education is badly hit in the current wave of unrest in Kashmir,http://timesofindia.indiatimes.com/home/education/news/Education-is-badly-hit-in-the-current-wave-of-unrest-in-Kashmir/articleshow/55257337.cms,"For 24-year-old Junaid Nazir, an intended three-month sabbatical after completing a degree in engineering from Punjab soon metamorphosed into a voluntary teaching exercise."
"FTII to propose fee hike, age limit; students oppose",http://timesofindia.indiatimes.com/home/education/news/FTII-to-propose-fee-hike-age-limit-students-oppose/articleshow/54589985.cms,"PUNE: The administration of Film & Television Institute of India (FTII) here would be proposing a fee hike and upper age-limit of 25 years for admissions at Friday's meeting of its academic council in Mumbai.But the proposal has not gone down well with a group of students who said the administration was trying to earn ""profit"" and make the institute ""commercial"".""The rationale behind proposing hike in fee structure is that for five years the fees were not increased as they should have been. In fact, in 2010, the fee of acting course, which is self-financing, was Rs 1.75 lakh (per annum) however, the then administration brought it down to Rs 48,000,"" said the FTII director Bhupendra Kainthola.""Ideally, the fee of each course should be increased by 10 per cent every year, however no attempt to revise fees was made in the past and CAG audit passed strictures that the fees at FTII were irrational,"" he said.For the acting course, the administration was going to propose the fee of Rs 3.40 lakh per annum he said.The fees of the four specialised courses — direction, cinematography, editing and sound recording — was earlier Rs 33,000 and over the years it was marginally increased to Rs 48,000, he said.""Ideally, if 10 per cent hike is effected every year, the fee for these courses should be Rs 64,000,"" Kainthola said.FTII had studied the fee structures of other institutes such as the National School of Drama and National Institute of Design before finalising the proposal, he said."
No autonomous colleges in private sector: Education minister,http://timesofindia.indiatimes.com/home/education/news/No-autonomous-colleges-in-private-sector-Education-minister/articleshow/54871881.cms,KOZHIKODE: State education minister Prof C Raveendranath said that the government will not sanction autonomous colleges in the private sector.
"Make bags lighter, CBSE tells teachers, parents",http://timesofindia.indiatimes.com/home/education/news/Make-bags-lighter-CBSE-tells-teachers-parents/articleshow/54515118.cms,"NEW DELHI: The Central Board of Secondary Education (CBSE) is trying to take the load off students' backs. In a recent set of guidelines issued to all affiliated schools, the Board has suggested that teachers should not penalise students in any way for not bringing textbooks or workbooks."
Govt thinking of re-introducing class X board exam: Prakash Javadekar,http://timesofindia.indiatimes.com/home/education/news/Govt-thinking-of-re-introducing-class-X-board-exam-Prakash-Javadekar/articleshow/55355582.cms,"NEW DELHI: Government is thinking of re-introducing compulsory class X board examination but if such a decision is taken, it will only be applied from the next academic year, HRD minister Prakash Javadekar on Thursday said."
IIT Guwahati invites students to participate in 'Ishan Vikas' scheme,http://timesofindia.indiatimes.com/home/education/news/IIT-Guwahati-invites-students-to-participate-in-Ishan-Vikas-scheme/articleshow/54936513.cms,GUWAHATI: IIT Guwahati has invited participation of schools of the north eastern states for the upcoming two-week residential central 'Ishan Vikas' programme.
Fate of several foreign students in medical colleges uncertain after SC's ruling on NEET,http://timesofindia.indiatimes.com/home/education/news/Fate-of-several-foreign-students-in-medical-colleges-uncertain-after-SCs-ruling-on-NEET/articleshow/54766990.cms,"NEW DELHI: Hundreds of foreign students who had enrolled this year for undergraduate programmes in private medical colleges in India now face an uncertain future due to a ""tricky"" domestic legislation regarding entrance examination for them."
"University can deny admission to students not carrying docs, says Delhi HC",http://timesofindia.indiatimes.com/home/education/news/University-can-deny-admission-to-students-not-carrying-docs-says-Delhi-HC/articleshow/54784898.cms,"NEW DELHI: The students, who secure a rank in an entrance exam but fail to produce the required documents at the time of counselling, cannot fault the university for denying admission, Delhi high court has held."
Seven startups graduate from Target Accelerator’s fourth batch,http://timesofindia.indiatimes.com/home/education/news/Seven-startups-graduate-from-Target-Accelerators-fourth-batch/articleshow/54699715.cms,"BENGALURU: US retailer Target said it culminated its fourth accelerator programme, a 16-week program that saw seven startups pitch to venture capitalists, retailers, serial entrepreneurs and the media."
"Finally, Miri Piri Medical College issue resolved",http://timesofindia.indiatimes.com/home/education/news/Finally-Miri-Piri-Medical-College-issue-resolved/articleshow/54612476.cms,"CHANDIGARH: Ultimately, admissions in the Miri Piri Medical College run by the SGPC at Shahabad (Kurukshetra) will begin from the academic year 2018."
Arun Jaitley launches SRCC’s financial literacy cell ‘Vittshala’,http://timesofindia.indiatimes.com/home/education/news/Arun-Jaitley-launches-SRCCs-financial-literacy-cell-Vittshala/articleshow/54900785.cms,"NEW DELHI: Union finance minister Arun Jaitley launched Vittshala, a financial literacy cell of Shri Ram College of Commerce on Monday commemorating the 90th anniversary of the college."
Norms for appointment of foreign faculty in IITs to be eased,http://timesofindia.indiatimes.com/home/education/news/Norms-for-appointment-of-foreign-faculty-in-IITs-to-be-eased/articleshow/54978952.cms,NEW DELHI: The government is set to ease the regulatory norms to make it easier for foreign faculty to be appointed in the IITs.
Indian universities go headhunting abroad,http://timesofindia.indiatimes.com/home/education/news/Indian-universities-go-headhunting-abroad/articleshow/54553354.cms,"COIMBATORE: Dr Arvind Perathur was a successful physician at Albany Medical Centre, New York State University, until a couple of months ago. Last month, he returned to India to join Amrita Institute of Medical Sciences, Kochi."
"With dreams in their eyes, Kashmiri students head to Jammu",http://timesofindia.indiatimes.com/home/education/news/With-dreams-in-their-eyes-Kashmiri-students-head-to-Jammu/articleshow/54896227.cms,"JAMMU: 17-year-old Suraya Gulzar, a resident of South Kashmir's Anantnag district, wants to join civil services while Khursheed (name changed) from Pulwama dreams of becoming a cardiologist."
Weighty issue: 12-year-old Nagpur boy launches agitation against heavy schoolbags,http://timesofindia.indiatimes.com/home/education/news/Weighty-issue-12-year-old-Nagpur-boy-launches-agitation-against-heavy-schoolbags/articleshow/54654449.cms,NAGPUR: A 12-year-old boy has decided to take up a 'weighty' cause. He has initiated an agitation against heavy school bags.
"To avoid distortion of facts, govt mulls grading science literature",http://timesofindia.indiatimes.com/home/education/news/To-avoid-distortion-of-facts-govt-mulls-grading-science-literature/articleshow/54876872.cms,"NEW DELHI: In order to prevent distortion of facts and make scientific literature more credible, the Ministry of Science and Technology is considering a plan under which books related to science could be graded and validated by experts."
Govt to give more autonomy to IIMs,http://timesofindia.indiatimes.com/home/education/news/Govt-to-give-more-autonomy-to-IIMs/articleshow/54754244.cms,"NEW DELHI: The HRD ministry has decided to give more autonomy to the Indian Institutes of Management (IIM) and reduce government control over them under a proposed Bill, with Union minister Prakash Javadekar reworking the provisions introduced under his predecessor Smriti Irani."
Private schools asked to follow RTE guidelines in Odisha,http://timesofindia.indiatimes.com/home/education/news/Private-schools-asked-to-follow-RTE-guidelines-in-Odisha/articleshow/53909190.cms,"KORAPUT (ODISHA): Private schools in Koraput district have been asked to follow the guidelines of the Right to Education (RTE) Act and get their doubts, if any, cleared by the district education office.A meeting in this regard was organized by the district administration recently in which principals of over 80 private schools participated.The meeting included a detailed presentation on the Act and also a question and answer session, a district official said.The schools have been asked to take certain measures for the safety of the children and create a conducive environment for academic activities, Koraput district Collector Jaya Kumar V said.Officials said apart from giving 25 per cent reservation to children belonging to economically-weaker sections, which is mandatory under the Act, the private schools were asked to hang a board displaying details of the teachers appointed, including their educational qualification, and student strength.The private schools were also asked to write the school's name in Odia language and maintain the student-teacher ratio, they said."
Private schools fee issue: Karnataka HC asks state to notify draft rules by Oct 5,http://timesofindia.indiatimes.com/home/education/news/Private-schools-fee-issue-Karnataka-HC-asks-state-to-notify-draft-rules-by-Oct-5/articleshow/54469205.cms,BENGALURU: The Karnataka high court on Thursday asked the state government to notify draft rules under the Karnataka Education Act with regards to regulating school fees in private unaided educational institutions.
IIT-KGP to teach science behind happiness,http://timesofindia.indiatimes.com/home/education/news/IIT-KGP-to-teach-science-behind-happiness/articleshow/53911561.cms,"KOLKATA: IIT Kharagpur (Kgp) will soon introduce an innovative new course that will involve researching the science behind happiness with an aim to develop ""a happy eco-system""."
Nearly 10L teachers’ posts lying vacant across country: Union MoS HRD,http://timesofindia.indiatimes.com/home/education/news/Nearly-10L-teachers-posts-lying-vacant-across-country-Union-MoS-HRD/articleshow/53789123.cms,"BAREILLY: Union minister of state for human resource development (HRD) Mahendra Nath Pandey said on Saturday that there are nearly 8-10 lakh posts of teachers lying vacant in schools and higher educational institutions across the country. He said that the government is taking initiative to clear the backlog and is also inviting suggestions to update the education policy which has not been revised since 1976.  Pandey, who was in Bareilly to participate in an event organized by Akhil Bharatiya Brahmin Mahasabha, told TOI, ""Though it is true that there is an acute shortage of teachers in the country, it has been created due to a long backlog of posts lying vacant over years and we are working to appoint more faculty members soon. We have identified that there is requirement of nearly 10 lakh teachers across the country in both schools and higher educational institutions."" Hinting at a revamp of the education policy, Pandey said, ""In our country, the education policy is not properly implemented as it was first made in 1962 and then it was revised in 1976. However, no successive government took the initiative to revise it in all these years. We are now inviting suggestions to introduce changes according to the current challenges and prepare a new education policy."" Asked about universities not being able to maintain quality due to rising number of affiliated colleges which at times run into hundreds, Pandey said, ""Fixing total number of affiliated colleges per university is in the agenda of both central and state governments. We are thinking about it."" The minister said that maintaining quality of higher education was his priority. ""Rashtriya Uchchatar Shiksha Abhiyan (RUSA) scheme has been introduced to improve the standard of higher education in the country. Besides, we are working to connect out students with facilities offered at international levels through satellite. Our students will be able to learn latest techniques and they will be granted an additional 20% marks for this."""
IB school says it does not come under Right to Education Act,http://timesofindia.indiatimes.com/home/education/news/IB-school-says-it-does-not-come-under-Right-to-Education-Act/articleshow/53866356.cms,"MUMBAI: Pune's first International Baccalaureate (IB) school told Bombay high court on Thursday that it was not a ""school"", it had no links to the Indian educational system and thus it did not come under the ambit of the Right to Education (RTE) Act.The assertion led to a bench headed by Chief Justice Manjula Chellur to ask who the school was then answerable to and ""how does it help the Indian economy"".Mercedes-Benz International School, through senior counsel Milind Sathe, said RTE applied only to elementary education in ""recognised schools"". Under RTE, every school has to admit 25% students from local areas at low fees. ""But this is a standalone academy recognised by the IB Organisation in Switzerland. The school gives a disclaimer that it is not recognised or affiliated to any board or university in India and hence cannot be subject to RTE,"" Sathe argued. Granting of recognition by the state authorities makes all students in such schools eligible for transfers and cross-admissions to other schools and for admission to higher education.Sathe said the school in Pune had its own curriculum and syllabus, and over 60% of its students were children of expats and the other 40% were locals who wished to go abroad for further studies. ""This is globalisation,"" said Sathe, when Chief Justice Chellur asked how a Swiss academy was setting up school ""on our land, using our resources.""The school run by Mercedes-Benz Education Academy was established in 1998 and has 280 students studying across primary, medium and diploma sections from ages 6 to 18. In conventional schools, it would be the equivalent to standards one to 12.The high court bench, including Justice M S Sonak, asked the state government and the Centre to file their replies within two weeks on why an IB school should not be under RTE. The petition was filed through advocate Kiran Bapat in 2015 but was heard for the first time on Thursday .Lawyer Manisha Jagtap, representing the Centre, said there were eight to 10 IB schools in the state and they might seek similar relief. Sathe said there are ""only three pure IB schools in the country . The rest are hybrid schools which opt for IB later and they are recognised also as a school with the state or central board. This is the basic difference"". The Chief Justice asked the state to inform them how the RTE Act is applicable while remarking that ""otherwise, everyone in order to get out of the purview of RTE may set up a school..."""
IISER expels 15 UG students for scoring below 5 CPI,http://timesofindia.indiatimes.com/home/education/news/IISER-expels-15-UG-students-for-scoring-below-5-CPI/articleshow/53887308.cms,"BHOPAL: Fifteen second year undergraduate students at Indian Institute of Science Education and Research (IISER), the premier national institute for research, have been expelled from the college on Friday. The students were earlier barred from admission to the next year on pretext that they scored below 5 cumulative performance index (CPI). Students claimed that they have been served termination letter stating they failed to register themselves for next session. However, students alleged they were never informed about any such rule. On the other hand, IISER authorities told TOI they have done everything according to the rule. Students have now filed a complaint to the MHRD against the institute. Terminated students alleged institute is playing with their career. ""We were served a year-drop notice by the authorities for scoring below 5 CPI in the first week of August. We came to know about this rule when we went for registration for the next class. August 10 was the last date for registration and we were not allowed. Today, they have served termination notice,"" said a student wishing anonymity. Students claimed they were never informed about termination in case they secure CPI below five. He said, ""In the mail, they have given the reason that we have been terminated for not registering for the next class. When we were not allowed to register for next class, how is it that we are being blamed for not registering. In the mail, IISER's dean academic, Saptarishi Mukherjee stated: ""In view of you not registering for 2016-17-I Semester by last date stipulated for late registration i.e. August 10, 2016, we regret to inform you that you have been marked for TERMINATION* from your academic programme."" Students have been asked to appeal to ""Chairperson, senate, IISER Bhopal"", against the termination with the explanation of failure to register by the deadline. Last date for appeal is August 30 for this. Another student pleading anonymity said: ""Deadline for registration was August 10 and they took 16 days to tell us about termination. They have cited our non-registration as reason for termination. The fact remains, institute never allowed us to register in the first place. So how could have we go ourselves registered,"" he said. He added: ""On August 1, we were given notice for year-drop and today they are talking about our termination. Suddenly, year-drop turned into termination without prior information."" In frustration, 'harassed' students have started leaving the campus. ""This is a research institute. No one can keep on fighting with the authorities who are not ready to understand the impacts of wasting one year. In this situation, students who could afford are leaving. A girl recently left the institute after authorities refused to help,"" said another student. Students who have scored above 5 CGPA have also come in support of the victim students. ""Let them give an opportunity. Termination is little harsh for them,"" said a senior student without quoting his name. When contacted, dean academics, Sapatrishi Mukherjee said the decision was taken by a committee. ""We have done everything according the rule. I do not understand the logic of students who are opposing the rule."""
"To fill IIT faculty gaps, PhD entry for BTechs",http://timesofindia.indiatimes.com/home/education/news/To-fill-IIT-faculty-gaps-PhD-entry-for-BTechs/articleshow/53802875.cms,"NEW DELHI: In the IIT council meeting next week, HRD ministry will propose a new research scholar scheme that proposes to identify 1,000 bright BTech students from premier engineering colleges who can be admitted straight into PhD programmes. Sources said that ""IITs will be asked if it is possible to get exceptional students into PhD immediately after BTech"". It would also be proposed that ""BTech passouts from IITs who have job experience and are interested in research should be enrolled in PhD,"" they added. A ministry official said the larger idea is to solve the problem of faculty crunch in IITs. He said it is ironical that despite around 2,000 PhDs coming out of IITs each year, the same number of vacancies exist. ""When it comes to hiring teachers, IITs are very selective. The need is to improve the quality of PhD and attract bright IIT students to undertake research,"" a source said. To make PhD after BTech attractive, government proposes to offer hefty scholarships to students. ""It will not be big enough to compensate the salary a IIT student gets after BTech but it will probably be among the highest,"" one official said. The Anil Kakodkar Committee report on IITs had recommended that each IIT should progressively grow to have around 1,200 faculty (from around 500 today) and closer to 12,000 students with maximum growth coming from an enhanced number of PhD students. It had suggested a minimum of 0.6 PhDs per faculty annually, eventually reaching 1 PhD per faculty. On this basis, the committee had suggested that the IIT system should be scaled to 16,000 faculty and 1,60,000 total student strength (with 40,000 at the PhD level, 40,000 at the Masters level and 80,000 UG students) by around the year 2020."
Next UGC-NET exam will be on Jan 22: CBSE,http://timesofindia.indiatimes.com/home/education/news/Next-UGC-NET-exam-will-be-on-Jan-22-CBSE/articleshow/54200624.cms,NEW DELHI: The Cetral Board of Secondary Education will conduct UGC-NET examination on January 22 next year.
IITs to have non-resident students soon,http://timesofindia.indiatimes.com/home/education/news/IITs-to-have-non-resident-students-soon/articleshow/53831688.cms,"NEW DELHI: IITs have decided to increase the number of seats in various courses for admitting ""non-resident students"" with an aim to take their total intake to one lakh by 2020.According to senior officials, in a meeting of the IIT Council headed by HRD Minister Prakash Javadekar today, ""in-principle"" approval was given to the proposal for admitting non-resident students.The authorities of different IITs will now undertake an exercise to fix the number of additional students they can accommodate.""At present, the IITs have around 72,000 students in their undergraduate, postgraduate or doctorate courses which are residential. However, it is now planned that students, who will not stay in hostels, should be admitted to these institutes,"" an official said.The plan is to increase the number by 10,000 per year so that the number of IITians touches 1 lakh by 2020, the official said, suggesting that ideally there would be an increase of 4,000 seats in undergraduate courses and 6,000 seats in postgraduate and Ph.D seats, an official said.Speaking after the meeting, Javadekar announced that the IIT Council has also approved a proposal to introduce the Prime Minister's Research Fellowships.The move aims at encouraging IITians passing out of B.Tech to enroll in Ph.D courses straightaway.Another decision taken by the council is to introduce an induction course to help new students adjust as they join these institutes after a rigorous competitive examination.The IIT Council has also given its nod to a ""pilot"" run of an aptitude test, the officials said, adding that the modalities will be worked out. They said that this test would not have a bearing on admissions.Another scheme which was approved the Council is 'Vishwajeet' which will help IITs to secure top ranks globally.On the new education policy, Javadekar said the government has received inputs from various quarters a workshop would soon be organised in this regard. He said education is a subject beyond politics and the government is willing to listen to all views on the issue."
India will need six generations to reach education standards of developed world,http://timesofindia.indiatimes.com/home/education/news/India-will-need-six-generations-to-reach-education-standards-of-developed-world/articleshow/54429455.cms,"MANGALURU: India does have ambitions to reach the level of developed nations in education, but it will take at least six generations or 126 years to scale up to the top standard , if the country continues at its present pace in one of the most vital sectors, an ASSOCHAM Paper has said. ""Though India has made rapid strides, the yawning gap between the standards of education does not seem to bridge soon as the developed world has not slowed down spending on education"", the paper noted."
UP CM Akhilesh Yadav inaugurates Bennett University,http://timesofindia.indiatimes.com/home/education/news/UP-CM-Akhilesh-Yadav-inaugurates-Bennett-University/articleshow/53798859.cms,"LUCKNOW: Congratulating the Times Group for setting up Bennett University in a record 16 months, Uttar Pradesh chief minister Akhilesh Yadav said on Sunday he was both proud and happy that the UP government had been able to disprove claims that governments tend to work slowly."
