Heading,Link,Summary
Over 900 permanent teaching posts lying vacant in Delhi University,http://timesofindia.indiatimes.com/home/education/news/Over-900-permanent-teaching-posts-lying-vacant-in-Delhi-University/articleshow/55479142.cms,"NEW DELHI: Over 900 permanent teaching posts are lying vacant in University of Delhi, one of the most sought after varsities in the country, the Rajya Sabha was informed on Thursday."
Enough teachers in govt aided schools: AAP govt to HC,http://timesofindia.indiatimes.com/home/education/news/Enough-teachers-in-govt-aided-schools-AAP-govt-to-HC/articleshow/55208592.cms,NEW DELHI: The Aam Aadmi Party government on Wednesday told Delhi high court that there was more than adequate number of teachers in schools aided by it.
Submit data on EWS admissions in upper classes: Delhi govt to schools,http://timesofindia.indiatimes.com/home/education/news/Submit-data-on-EWS-admissions-in-upper-classes-Delhi-govt-to-schools/articleshow/55440438.cms,NEW DELHI: The Delhi government has asked private schools in the national capital running on government land to submit details of admissions under the EWS category in upper classes within two days.
IGNOU to launch certificate course on Sand Art,http://timesofindia.indiatimes.com/home/education/news/IGNOU-to-launch-certificate-course-on-Sand-Art/articleshow/55248490.cms,BHUBANESWAR: Indira Gandhi National Open University (IGNOU) will launch a certificate course on sand art as a first of its kind in the country. Noted sand artist Sudarsan Patnaik from Odisha will help the university to design and develop the programme.
"Panjab, Birmingham varsities come together to improve quality of life",http://timesofindia.indiatimes.com/home/education/news/Panjab-Birmingham-varsities-come-together-to-improve-quality-of-life/articleshow/55349655.cms,NEW DELHI: Experts from Chandigarh's Panjab University (PU) and the University of Birmingham have kick-started an initiative to improve the quality of life in the two cities -- and the wider world.
Only 177 PhDs in entrepreneurship in last 16 years: Study,http://timesofindia.indiatimes.com/home/education/news/Only-177-PhDs-in-entrepreneurship-in-last-16-years-Study/articleshow/55718963.cms,"AHMEDABAD: Despite government's efforts to promote entrepreneurship, doctoral research on the subject is yet to pick up in Indian universities as only 177 PhDs have been awarded in it compared to 20,271 in social sciences during last 16 years, says a study."
IGNOU to offer 4 courses to weavers’ family for free of cost,http://timesofindia.indiatimes.com/home/education/news/IGNOU-to-offer-4-courses-to-weavers-family-for-free-of-cost/articleshow/55266559.cms,BHUBANESWAR: Indira Gandhi National Open University (IGNOU) has decided to offer four of its certificate courses for free of cost to family members of weavers of two western Odisha villages.
"Money matters! It's high time you earned enough revenue: Modi government to IITs, IIMs",http://timesofindia.indiatimes.com/home/education/news/Money-matters-Its-high-time-you-earned-enough-revenue-Modi-government-to-IITs-IIMs/articleshow/55125735.cms,NEW DELHI: It's high time you earned enough revenue. That’s what the Narendra Modi government has conveyed to all statefunded institutes ranging from the IITs and IIMs to even the National School of Drama and public museums as part of a move to nudge them towards self-sustenance.
"Telangana govt starts digital classrooms plan in 3,352 schools",http://timesofindia.indiatimes.com/home/education/news/Telangana-govt-starts-digital-classrooms-plan-in-3352-schools/articleshow/55459997.cms,"HYDERABAD: The Telangana government on Wednesday launched its digital classrooms programme in 3,352 high schools in the state."
Oxford University Press launches new integrated learning solution,http://timesofindia.indiatimes.com/home/education/news/Oxford-University-Press-launches-new-integrated-learning-solution/articleshow/55909759.cms,"NEW DELHI: Oxford University Press (OUP) has launched a new integrated learning solution that can provide schools, students, parents as well as teachers with a novel comprehensive educational tool kit, a statement said on Friday."
Higher education institutions torch-bearers of progress: President,http://timesofindia.indiatimes.com/home/education/news/Higher-education-institutions-torch-bearers-of-progress-President/articleshow/55516338.cms,"NEW DELHI: President Pranab Mukherjee on Friday said higher education institutions are the torch-bearers of progress in the country, and stressed the need for quality research."
CAT flaws: Candidates point at complete mismanagement,http://timesofindia.indiatimes.com/home/education/news/CAT-flaws-Candidates-point-at-complete-mismanagement/articleshow/55845017.cms,"Though IIM-Bangalore said on Monday that the leaking of the toughest section of last Sunday's Common Admission Test (CAT) for the Indian Institutes of Management and other prominent business schools on social media sites was an isolated incident that was being dealt with, some candidates have alleged ""complete mismanagement"" at the test centres."
Education is badly hit in the current wave of unrest in Kashmir,http://timesofindia.indiatimes.com/home/education/news/Education-is-badly-hit-in-the-current-wave-of-unrest-in-Kashmir/articleshow/55257337.cms,"For 24-year-old Junaid Nazir, an intended three-month sabbatical after completing a degree in engineering from Punjab soon metamorphosed into a voluntary teaching exercise."
"CAT 2016 not ‘glitch’ free, 1.95 lakh take test",http://timesofindia.indiatimes.com/home/education/news/CAT-2016-not-glitch-free-1-95-lakh-take-test/articleshow/55802039.cms,"NEW DELHI: The Common Admission Test (CAT) 2016 conducted in two sessions on Sunday in 138 cities across the country wasn't free of ""glitches"" as some candidates claimed that three questions in the quantitative ability (QA) section showed 'Pi' symbol on their computer screens instead of what should have ideally been a 'square root'."
India's first Confucius classroom to come up in Kolkata,http://timesofindia.indiatimes.com/home/education/news/Indias-first-Confucius-classroom-to-come-up-in-Kolkata/articleshow/55626942.cms,"KOLKATA: With increasing demand for learning Chinese language and culture, India's first Confucius classroom will come up in Kolkata next year."
Govt thinking of re-introducing class X board exam: Prakash Javadekar,http://timesofindia.indiatimes.com/home/education/news/Govt-thinking-of-re-introducing-class-X-board-exam-Prakash-Javadekar/articleshow/55355582.cms,"NEW DELHI: Government is thinking of re-introducing compulsory class X board examination but if such a decision is taken, it will only be applied from the next academic year, HRD minister Prakash Javadekar on Thursday said."
IIT Guwahati invites students to participate in 'Ishan Vikas' scheme,http://timesofindia.indiatimes.com/home/education/news/IIT-Guwahati-invites-students-to-participate-in-Ishan-Vikas-scheme/articleshow/54936513.cms,GUWAHATI: IIT Guwahati has invited participation of schools of the north eastern states for the upcoming two-week residential central 'Ishan Vikas' programme.
"From 2017, CISCE to have its own syllabus, from pre-school to class 8",http://timesofindia.indiatimes.com/home/education/news/From-2017-CISCE-to-have-its-own-syllabus-from-pre-school-to-class-8/articleshow/55563358.cms,"LUCKNOW: In a first, students studying in pre-school till class VIII in schools affiliated to the Council for the Indian School Certificate Examinations (CISCE) will have to study a curriculum prescribed by the Board right from academic session 2017-18, said CISCE chief executive and secretary Gerry Arathoon."
Class X board exam for CBSE schools from 2017-18: Prakash Javadekar,http://timesofindia.indiatimes.com/home/education/news/Class-X-board-exam-for-CBSE-schools-from-2017-18-Prakash-Javadekar/articleshow/55420709.cms,"JAIPUR: The government will reintroduce compulsory class X board examination for CBSE schools from the 2017-18 academic year, Union HRD minister Prakash Javadekar said on Monday."
ICSE board favours detention policy from Class VI,http://timesofindia.indiatimes.com/home/education/news/ICSE-board-favours-detention-policy-from-Class-VI/articleshow/55235983.cms,"KOLKATA: The Central Advisory Board for Education's recommendation to amend the ""no-detention"" clause in the Right to Education Act and reintroduce pass-fail system from Class V has struck a chord with the Council for Indian School Certificate Examination."
Arun Jaitley launches SRCC’s financial literacy cell ‘Vittshala’,http://timesofindia.indiatimes.com/home/education/news/Arun-Jaitley-launches-SRCCs-financial-literacy-cell-Vittshala/articleshow/54900785.cms,"NEW DELHI: Union finance minister Arun Jaitley launched Vittshala, a financial literacy cell of Shri Ram College of Commerce on Monday commemorating the 90th anniversary of the college."
Norms for appointment of foreign faculty in IITs to be eased,http://timesofindia.indiatimes.com/home/education/news/Norms-for-appointment-of-foreign-faculty-in-IITs-to-be-eased/articleshow/54978952.cms,NEW DELHI: The government is set to ease the regulatory norms to make it easier for foreign faculty to be appointed in the IITs.
J&K; govt orders mass promotion of students to next level,http://timesofindia.indiatimes.com/home/education/news/JK-govt-orders-mass-promotion-of-students-to-next-level/articleshow/55477459.cms,"SRINAGAR: In a major relief to students who have missed their classes for over four months due to the ongoing unrest in the valley, Jammu and Kashmir government on Thursday announced mass promotion of students to next levels and also ordered continuation of ""No-Detention"" policy for the current academic session."
Annual board exams to begin in Kashmir tomorrow,http://timesofindia.indiatimes.com/home/education/news/Annual-board-exams-to-begin-in-Kashmir-tomorrow/articleshow/55404831.cms,"SRINAGAR: The annual board examinations, scheduled to begin in Kashmir tomorrow, will be an acid test for the PDP-BJP coalition government which announced the schedule for examinations despite opposition from various quarters, including the student community."
"UGC amends regulations, college principals to get one more term",http://timesofindia.indiatimes.com/home/education/news/UGC-amends-regulations-college-principals-to-get-one-more-term/articleshow/55839060.cms,"KOLHAPUR: The University Grants Commission (UGC) in one of the important decisions has said that a college principal can get one more term after completion of his/her five-year tenure, following the constitution of the external peer review committee."
"ISC exams from Feb 6, ICSE from Feb 27",http://timesofindia.indiatimes.com/home/education/news/ISC-exams-from-Feb-6-ICSE-from-Feb-27/articleshow/55732957.cms,MUMBAI: The Council for the Indian School Certificate Examinations (CISCE) has announced the timetable for the class XII (ISC) and class X (ICSE) examinations to be held in 2017.
Delhi Government streamlines admission process for Class VI,http://timesofindia.indiatimes.com/home/education/news/Delhi-Government-streamlines-admission-process-for-Class-VI/articleshow/55857179.cms,"NEW DELHI: In an attempt to streamline the admission process from municipal schools to Delhi-government schools in class VI, the AAP government has decided to generate admission slips, which will be handed over to the students."
Next UGC-NET exam will be on Jan 22: CBSE,http://timesofindia.indiatimes.com/home/education/news/Next-UGC-NET-exam-will-be-on-Jan-22-CBSE/articleshow/54200624.cms,NEW DELHI: The Cetral Board of Secondary Education will conduct UGC-NET examination on January 22 next year.
HRD drops key clauses in re-worked IIM bill,http://timesofindia.indiatimes.com/home/education/news/HRD-drops-key-clauses-in-re-worked-IIM-bill/articleshow/54748484.cms,"NEW DELHI: Under fire from the Prime Minister’s Office on the issue, the Human Resource Development Ministry under its new minister has finally reworked the IIM Bill to drop key provisions, including the office of the Visitor for IIMs."
Private schools fee issue: Karnataka HC asks state to notify draft rules by Oct 5,http://timesofindia.indiatimes.com/home/education/news/Private-schools-fee-issue-Karnataka-HC-asks-state-to-notify-draft-rules-by-Oct-5/articleshow/54469205.cms,BENGALURU: The Karnataka high court on Thursday asked the state government to notify draft rules under the Karnataka Education Act with regards to regulating school fees in private unaided educational institutions.
"Make bags lighter, CBSE tells teachers, parents",http://timesofindia.indiatimes.com/home/education/news/Make-bags-lighter-CBSE-tells-teachers-parents/articleshow/54515118.cms,"NEW DELHI: The Central Board of Secondary Education (CBSE) is trying to take the load off students' backs. In a recent set of guidelines issued to all affiliated schools, the Board has suggested that teachers should not penalise students in any way for not bringing textbooks or workbooks."
Recalling 1975 order only way for IIM faculty quota?,http://timesofindia.indiatimes.com/home/education/news/Recalling-1975-order-only-way-for-IIM-faculty-quota/articleshow/54534041.cms,NEW DELHI: The dominant view in many IIMs is that the only way to resolve the demand for reservations in faculties in the premier institutes could be through the withdrawal of the 1975 HRD ministry order that exempted them from having quotas.
SC upholds MBBS admissions by deemed universities,http://timesofindia.indiatimes.com/home/education/news/SC-upholds-MBBS-admissions-by-deemed-universities/articleshow/54573918.cms,"NEW DELHI: In a big relief to deemed universities in Maharashtra and Kerala, the Supreme Court on Wednesday refused to quash the admission process carried out by them for MBBS/BDS courses on the basis of their own counselling in defiance of the government decision for centralised counselling."
NGO files contempt plea in Delhi HC on teachers' vacancies,http://timesofindia.indiatimes.com/home/education/news/NGO-files-contempt-plea-in-Delhi-HC-on-teachers-vacancies/articleshow/54741409.cms,NEW DELHI: An NGO on Friday moved the Delhi high court to seek action against the Delhi government and authorities of three municipal corporations for alleged non-compliance with the court's earlier order on filling teachers' vacancies.
IIM-Kozhikode completes summer placement for PG students,http://timesofindia.indiatimes.com/home/education/news/IIM-Kozhikode-completes-summer-placement-for-PG-students/articleshow/54869289.cms,"KOZHIKODE: IIM Kozhikode has completed the summer placement for its post-graduate programme in a record six days, with recruitment of 364 students, nearly half of them getting placed in sales and marketing."
Left alliance sweeps JNU polls,http://timesofindia.indiatimes.com/home/education/news/Left-alliance-sweeps-JNU-polls/articleshow/54270745.cms,"NEW DELHI: The Left Unity, an alliance of All India Students' Association (AISA) and the Students' Federation of India(SFI), on Saturday won all four top posts in the Jawaharlal Nehru University Students' Union elections."
India will need six generations to reach education standards of developed world,http://timesofindia.indiatimes.com/home/education/news/India-will-need-six-generations-to-reach-education-standards-of-developed-world/articleshow/54429455.cms,"MANGALURU: India does have ambitions to reach the level of developed nations in education, but it will take at least six generations or 126 years to scale up to the top standard , if the country continues at its present pace in one of the most vital sectors, an ASSOCHAM Paper has said. ""Though India has made rapid strides, the yawning gap between the standards of education does not seem to bridge soon as the developed world has not slowed down spending on education"", the paper noted."
IIM-K offers executive PG programme,http://timesofindia.indiatimes.com/home/education/news/IIM-K-offers-executive-PG-programme/articleshow/54720895.cms,"CHENNAI: Indian Institute of Management-Kozhikode announced its executive postgraduate programme for working professionals in 21 cities across India, through an exclusive partnership with Times Centre for Learning's executive education brand TSW."
NEET for post graduate dental courses from November 30,http://timesofindia.indiatimes.com/home/education/news/NEET-for-post-graduate-dental-courses-from-November-30/articleshow/54449878.cms,"NEW DELHI: The National Board of Examinations (NBE) will conduct the common medical entrance test for post graduate dental as well as diploma courses across 41 cities, streamlining the entrance process to PG medical courses.National Eligibility cum Entrance Test (NEET) for Post-Graduate Diploma courses will be conducted by NBE from December 5-13. Whereas, for dental courses, NEET will take place from November 30 to December 3 this year in 86 centres across 41 cities, health ministry said in a statement on Wednesday.""The examination will be held as a computer based test and will comprise of 300 multiple choice questions from the MBBS curriculum followed at medical colleges in India,"" it said.The statement said that it will be a single eligibility cum entrance examination for admission to PG medical courses' for the academic session 2017 and include all India 50% quota seats for MD, MS and PG Diploma courses for all states except Andhra Pradesh, Jammu and Kashmir and Telangana.It will also include state quota seats for MD, MS and PG diploma courses for all states and UTs including Andhra Pradesh, Jammu and Kashmir and Telangana.The NEET for MDS courses (Dental) will also be a computer based test comprising of 240 multiple choice questions.""NEET-MDS is a single window entrance examination for entry to dental post graduate courses. No other examination either at state level or institutional level entrance examination conducted by dental colleges or institutions shall be valid as per the Dentists Act, 1948 with effect from 2017 admission session,"" the statement said.The website for NEET-MDS and NEET-PG will be available from September 24 and online registration will start from September 26 to October 31.AIIMS, PGIMER, Chandigarh, Jawaharlal Institute of Postgraduate Medical Education and Research (JIPMER), National Institute of Mental Health and Neurosciences (NIMHANS) and SRICHITRA Institute are not covered by NEET PG.The AIIMS, New Delhi Dental institution is not covered by centralised admissions for MDS seats through NEET-MDS for 2017 session."
Government plans to introduce quota for faculty at IIMs,http://timesofindia.indiatimes.com/home/education/news/Government-plans-to-introduce-quota-for-faculty-at-IIMs/articleshow/54366153.cms,AHMEDABAD: Union HRD Ministry has proposed to introduce reservation in teaching positions at Indian Institutes of Management (IIMs) and will hold talks with the chiefs of these premier B-schools in this regard.
Foreign students slam Hindi institute for dirty hostels,http://timesofindia.indiatimes.com/home/education/news/Foreign-students-slam-Hindi-institute-for-dirty-hostels/articleshow/53988587.cms,"NEW DELHI: HRD ministry has sought a detailed report from Kendriya Hindi Sansthan, Agra, on allegations by many foreign students that the institute has turned a blind eye to pathetic living conditions in the hostel.Exasperated with the callous attitude of the institute management, some foreign students raised the matter on social media by posting pictures of unhygienic hostel toilets and even a video of an ill student, Raynuka Baldeo, being rushed by her friends to hospital in a three-wheeler.No one from KHS was present even in the hospital. The ill student from Trinidad then contacted her country's mission in India for help to return to her country. On Friday KHS agreed to send Baldeo and late in the evening she was flown to Trinidad.One foreign student told TOI, ""Ever since Raynuka's case came to public domain, institute is trying to shift the blame on us for being demanding (sic). Top functionaries of KHS hardly interact with us and despite repeated reminders nothing has been done about pathetic conditions."" Nand Kishore Pandey, director, KHS told TOI that Baldeo's matter is being blown out of proportion. He said, ""she wanted to go back and raised the issue of mismanagement"" Pandey says there are 100 foreign students in KHS and there are separate hostels for male and female students. Indian students numbering 150 have their own hostels.This year 85 foreign students from 31 countries have already joined. Pandey admits that hostels are old and there is a move to get them renovated.According to Pandey, the root of the discontent among foreign students lies in the lack of non-vegetarian food in the hostel mess. He said both Indian and foreign students manage the hostel mess and KHS passes on the cost to them. ""But non-vegetarian food is not allowed for many years. Foreign students complain that it be allowed,"" he said.Pandey also points out that since KHS pays for the annual ticket home for foreign students, bookings are done in advance according to the yearly academic calendar."
"HRD ministry working towards digital degrees, certificates",http://timesofindia.indiatimes.com/home/education/news/HRD-ministry-working-towards-digital-degrees-certificates/articleshow/54249845.cms,NEW DELHI: The HRD ministry is working to ensure that degrees and certificates are given to students in digital format from the 2017 academic session onwards.
IITs may soon decide their own fee structure,http://timesofindia.indiatimes.com/home/education/news/IITs-may-soon-decide-their-own-fee-structure/articleshow/54849573.cms,NEW DELHI: Indian Institutes of Technology (IITs) may soon be allowed to set their own fee structure without consulting the apex council governing the prestigious institution.
Prakash Javadekar asks IIMs for plan to increase students intake,http://timesofindia.indiatimes.com/home/education/news/Prakash-Javadekar-asks-IIMs-for-plan-to-increase-students-intake/articleshow/54431230.cms,NEW DELHI: IIMs have been told to expand their intake capacity to double so that more students can be admitted. They have also been asked to explore the possibility of increasing number of doctoral students.
"Norms to hire foreign faculty for IITs, IIMs may be eased",http://timesofindia.indiatimes.com/home/education/news/Norms-to-hire-foreign-faculty-for-IITs-IIMs-may-be-eased/articleshow/54667345.cms,"NEW DELHI: Roadblocks in hiring foreign faculty on five-year contracts in government institutions like IITs and IIMs could soon be resolved as the home ministry told its HRD counterparts on Monday that it was proposing a Cabinet note to allow work visa to those who earn aminimum of $15,000 a year."
"CBSE begins review of CCE, optional Class X board exam",http://timesofindia.indiatimes.com/home/education/news/CBSE-begins-review-of-CCE-optional-Class-X-board-exam/articleshow/54686916.cms,NEW DELHI: The CBSE has begun a review of the optional board exams for Class X as well as the Continuous and Comprehensive Evaluation (CCE) followed in affiliated schools.
"HRD panel suggests ways to avoid vacancies in IITs, institutes",http://timesofindia.indiatimes.com/home/education/news/HRD-panel-suggests-ways-to-avoid-vacancies-in-IITs-institutes/articleshow/54686705.cms,NEW DELHI: HRD ministry set up a three-member committee on Tuesday to suggest measures to avoid vacancies during admission in IITs and other central government funded technical institutes.
