Heading,Summary,Link,PostedBy,PostedOnDate
First Indian researcher nominated to European investigator programme,"Researcher Minhajuddin Sirajuddin from the Institute for Stem Cell Biology and Regenerative Medicine (inStem) in Bengaluru has become the first scientist from India to join the European Molecular Biology Organization (EMBO) Young Investigator Programme network, a statement said on Saturday.",http://www.financialexpress.com/jobs/first-indian-researcher-nominated-to-european-investigator-programme/470542/,IANS ," December 10, 2016 9:04 PM"
SC clubs challenge to Aligarh Muslim University VC appointment with minority character issue,A three judge bench examining whether Aligarh Muslim University (AMU) was a minority institution or not will also hold hearing on a plea challenging the appointment of Lt.Gen. Zameeruddin Shah (retd.) as its Vice Chancellor.,http://www.financialexpress.com/jobs/sc-clubs-challenge-to-aligarh-muslim-university-vc-appointment-with-minority-character-issue/466379/,IANS ," December 6, 2016 8:27 PM"
UK to cut student visas by half: Report,"The UK government is finalising plans to cut annual student visa figures by nearly half, from the current 300,000 to 170,000, a media report said today amid a sharp fall in students coming to the country from outside Europe…",http://www.financialexpress.com/jobs/uk-to-cut-student-visas-by-half-report/472229/,PTI ," December 12, 2016 10:06 PM"
"Modern Education Society’s College of Engineering paper leak: Students upset, re-exam likely",The leak has upset students of first-year electrical engineering across all college campuses. The incident came to light as some students got the questions on their mobile phones a few minutes before the exam.,http://www.financialexpress.com/jobs/modern-education-societys-college-of-engineering-paper-leak-students-upset-re-exam-likely/472915/,FE Online ," December 13, 2016 3:39 PM"
"India lagging in terms of quality education, says National Commission for Minorities Chairman, Naseem Ahmad","Chairman of National Commission for Minorities, Naseem Ahmad, today batted for fresh training capsules to upgrade knowledge base and teaching skills.",http://www.financialexpress.com/jobs/india-lagging-in-terms-of-quality-education-says-national-commission-for-minorities-chairman-naseem-ahmad/467790/,PTI ," December 8, 2016 12:54 AM"
Online hiring activity sees 9 per cent growth in November: Monster.com,"Online recruitment activity expanded by 9 per cent year-on-year in November, largely driven by hiring in the Government/PSU/Defence sectors, says a report. ",http://www.financialexpress.com/jobs/online-hiring-activity-sees-9-per-cent-growth-in-november-monster-com/468407/,PTI ," December 8, 2016 2:28 PM"
"Sharp increase in students from India, Pakistan to study in China","As per graphics carried by the state-run Global Times today, India and Pakistan were among the top ten countries last year along the “Belt and Road” (Silk Road).",http://www.financialexpress.com/jobs/sharp-increase-in-students-from-india-pakistan-to-study-in-china/474478/,PTI ," December 14, 2016 7:54 PM"
Indo Nissin kicks-off with 2nd Edition of Manchester United Soccer School," Indo Nissin with its global partnership with Manchester United brings to Indian school children between the ages of 13-17 years, an opportunity to train with respected Manchester United Soccer Schools coaches in India.",http://www.financialexpress.com/jobs/indo-nissin-kicks-off-with-2nd-edition-of-manchester-united-soccer-school/476020/,ANI ," December 16, 2016 11:07 AM"
‘Google boy’ Kautilya Pandit stuns Super 30’s Anand Kumar; says wants to be ‘astro scientist’,"Child prodigy Kautilya Pandit who’s also known as “Google boy” on Thursday interacted with mathematician Anand Kumar and other students of his school, Super30, reported The Indian Express.",http://www.financialexpress.com/jobs/google-boy-kautilya-pandit-stuns-super30s-anand-kumar-says-wants-to-be-astro-scientist/475627/,FE Online ," December 15, 2016 10:55 PM"
How demonetisation will impact the education sector,"One of the key advantages of demonetisation is that it can create a level-playing field for aspiring and deserving students, who are unable to pay capitation fee
(donations), which has been prevalent in the Indian private education system",http://www.financialexpress.com/jobs/how-demonetisation-will-impact-the-education-sector/471292/,NA,"December 12, 2016 6:49 AM"
"2017 set to be hard on employees, low salary hikes expected; time to dust out those CVs","India salary growth is pegged at 10 per cent, while real wages are expected to rise by 4.8 per cent as salary forecasted by Korn Ferry Hay Group 2017.",http://www.financialexpress.com/jobs/2017-set-to-be-hard-on-employees-low-salary-hikes-expected-time-to-dust-out-those-cvs/469425/,FE Online ," December 9, 2016 4:57 PM"
IBPS CWE PO/MT VI mains exam 2016: Cut-off scores to be announced today; check http://www.ibps.in, The Institute of Banking and Personnel Selection (IBPS) is all set to release the score card of its recently conducted CWE PO/MT main examination 2016 on Thursday.,http://www.financialexpress.com/jobs/ibps-cwe-pomt-vi-mains-exam-2016-cut-off-scores-to-be-announced-today-check-httpwww-ibps-in/475316/,FE Online ," December 15, 2016 4:44 PM"
Human resources: Top 5 tech based trends that 2017 is likely to see,Human resources are a key element in any organization. After all the difference between two similar businesses are its people. ,http://www.financialexpress.com/jobs/human-resources-top-5-tech-based-trends-that-2017-is-likely-to-see/471672/,NA,"December 12, 2016 12:54 PM"
UPTET Exam Admit Card 2016: Uttar Pradesh Teacher Eligibility Test Exam admit Cards released,UPTET Admit Card 2016: Uttar Pradesh Basic Education Board has made the UPTET Admit Card 2016 for the vacant posts of Teachers available for the candidates who have applied for the Uttar Pradesh Teacher Eligibility Test (UPTET) Examination 2016.,http://www.financialexpress.com/jobs/uptet-exam-admit-card-2016-uttar-pradesh-teacher-eligibility-test-exam-admit-cards-released-upbasiceduboard-gov-in/466180/,FE Online ," December 6, 2016 5:40 PM"
Class 10 Board exams almost compulsory now; here’s why,"HRD minister Prakash Javadekar has said, the board would meet around month end and a resolution is set to be passed to make Class 10 board exams compulsory.",http://www.financialexpress.com/jobs/class-10-board-exams-almost-compulsory-now-heres-why/473184/,FE Online ," December 13, 2016 6:26 PM"
"Internet addiction is real and growing rampantly in the country, find out how",“Be wary of technology; it is often merely an improved means to an unimproved end” —Henry David Thoreau,http://www.financialexpress.com/jobs/internet-addiction-is-real-and-growing-rampantly-in-the-country-find-out-how/470669/,Nitin Sreedhar ," December 11, 2016 6:26 AM"
"CAT 2016: Paper tricky and difficult, more than 2.3 lakh take test","The first batch was conducted in the morning and students of this batch were relieved as they were able to answer the exam well with most of the questions being on expected lines and without any major surprises, as the exam pattern was as same as the one seen in 2015.",http://www.financialexpress.com/jobs/cat-2016-paper-tricky-and-difficult-more-than-2-3-lakh-take-test/464615/,FE Online ," December 5, 2016 2:37 PM"
"Learning Kaizen, and the art of vehicle maintenance","The Japanese organisation for HR development, HIDA, is providing two-week intensive training on global best practices in vehicle service and repair at ITI Pusa",http://www.financialexpress.com/jobs/learning-kaizen-and-the-art-of-vehicle-maintenance/464033/,Vikram Chaudhary ," December 5, 2016 6:00 AM"
Microsoft rolls out over 70 offers to IITians this year,Technology giant Microsoft has offered more than 70 jobs across different campuses of Indian Institute of Technology (IIT) this year for its India and international operations.,http://www.financialexpress.com/jobs/microsoft-rolls-out-over-70-offers-to-iitians-this-year/463699/,PTI ," December 4, 2016 1:21 PM"
CM Devendra Fadnavis for Aadhar linkage of bank accounts for student scholarship,Maharashtra Chief Minister Devendra Fadnavis has asked for Aadhar linkage of all accounts for availing different scholarships and other benefits by students. ,http://www.financialexpress.com/jobs/cm-devendra-fadnavis-for-aadhar-linkage-of-bank-accounts-for-student-scholarship/461851/,PTI ," December 2, 2016 2:11 AM"
IBPS CWE RRB V Office assistant prelims 2016 results announced; check latest on Regional Rural Banks at http://www.ibps.in,IBPS CWE RRB V Office assistant prelims 2016 results: The Institute of Banking Personnel Selection (IBPS) today declared the prelims examination results of candidates who appeared for the post of office assistant (multipurpose) in Regional Rural Banks (RRB). ,http://www.financialexpress.com/jobs/ibps-rrb-result-2016-ibps-cwe-rrb-v-office-assistant-prelims-2016-results-regional-rural-banks-at-httpwww-ibps-in/458547/,FE Online ," November 28, 2016 10:07 PM"
"Reintroducing class X board exams for CBSE schools will benefit students, here’s why",The recent decision by HRD minister Prakash Javadekar to reintroduce Class X board exams from the 2017-18 sessions in all CBSE-affiliated schools is a move in the right direction.,http://www.financialexpress.com/jobs/reintroducing-class-x-board-exams-for-cbse-schools-will-benefit-students-heres-why/457558/,NA,"November 28, 2016 6:02 AM"
IBPS PO Mains Exam Result 2016: Results to be declared on the first week of December at IBPS official website www.ibps.in,IBPS PO Exam Result: Candidates qualifying the test will have to undergo a Common Interview which will be conducted in 22 Public Sector Banks in the country.,http://www.financialexpress.com/jobs/ibps-po-mains-exam-result-2016-results-to-be-declared-on-the-first-week-of-december-at-ibps-official-website-www-ibps-in/460368/,FE Online ," November 30, 2016 4:49 PM"
How virtual reality can be the future of education?,A major way virtual reality will prove to be an advantage in the education sector is making field trips more accessible and cost-effective,http://www.financialexpress.com/jobs/how-virtual-reality-can-be-the-future-of-education/464035/,NA,"December 5, 2016 6:02 AM"
"ICSE, ICS Examination date sheet declared","The ICSE Grade 10 examination will start from February 27, 2017 and last till March 31, 2017. While, the ISC Class 12 board examination will commence from February 6, 2017.",http://www.financialexpress.com/jobs/icse-ics-examination-date-sheet-declared/461949/,FE Online ," December 2, 2016 5:16 AM"
Jobs of the future will not lie in traditional areas; here’s why,Jobs of the future will lie not in traditional areas but at the intersection of new pursuits for millennials and digital natives,http://www.financialexpress.com/jobs/jobs-of-the-future-will-not-lie-in-traditional-areas-heres-why/464091/,NA,"December 5, 2016 6:13 AM"
Scripting success through franchising,"By signing up a school franchise, you get a ready-made and proven system, as opposed to creating a system all over again by hit and trial",http://www.financialexpress.com/jobs/scripting-success-through-franchising/464034/,NA,"December 5, 2016 6:01 AM"
RRB NTPC 2016 results likely to be announced in first fortnight of December,The processing of RRB NTPC results are in the final or the checking stage and are most probably to be declared in the first fortnight of December.,http://www.financialexpress.com/jobs/rrb-ntpc-2016-results-likely-to-be-announced-in-first-fortnight-of-december/461962/,FE Online ," December 2, 2016 5:45 AM"
"AAI to fill nearly 2,100 posts","Airports Authority of India (AAI) plans to fill nearly 2,100 posts across segments by 2016-17 as it looks to increase manpower for various projects. ",http://www.financialexpress.com/jobs/aai-to-fill-nearly-2100-posts/461530/,PTI ," December 1, 2016 4:53 PM"
Sachin Tendulkar urges MNCs to start employing sportsmen,"Stressing on the importance of job security in sports, cricket icon Sachin Tendulkar today urged big companies and MNCs to start employing sportsmen.",http://www.financialexpress.com/jobs/sachin-tendulkar-urges-mncs-to-start-employing-sportsmen/457537/,PTI ," November 27, 2016 11:18 PM"
"Can the 500 and 1,000 rupee note demonetisation clean up our education system?","The path-breaking policy initiative of demonetising 500- and 1,000-rupee banknotes will go a long way in changing how India transacts.",http://www.financialexpress.com/jobs/can-the-500-and-1000-rupee-note-demonetisation-clean-up-our-education-system/457553/,NA,"November 28, 2016 6:01 AM"
"JEE (Main) 2017 examination: Enrol JEE aspirants for Aadhaar Card on priority basis, says UIDAI",JEE (Main) 2017 examination: As CBSE has made Aadhaar card mandatory for JEE applicants the Unique ID Authority of India has directed all registrars and enrolment agencies to enrol Joint Entrance Examination (JEE) aspirants on priority basis. ,http://www.financialexpress.com/jobs/jee-main-2017-examination-enrol-jee-aspirants-iit-cbse-for-aadhaar-card-joint-entrance-examination-indian-institutes-of-technology-last-date-for-application-jan-2-2017/458558/,FE Online ," November 28, 2016 10:17 PM"
Techie looking for a job? Next four months could be the best for you,"Tech professionals can look forward to a good hiring season in the next four months as 76 per cent of Indian IT firms are planning to hike intake, especially from the southern parts of the country.",http://www.financialexpress.com/jobs/tech-jobs-up-for-grabs-in-next-four-months-says-report/459031/,PTI ," November 29, 2016 6:14 PM"
Niti Aayog to revamp UGC for better quality education,"The regulatory framework of the University Grants Commission (UGC) will undergo revamp to enhance the quality of higher education in India, the government said on Thursday. ",http://www.financialexpress.com/jobs/niti-aayog-to-revamp-ugc-for-better-quality-education/455179/,IANS ," November 24, 2016 8:40 PM"
Indian origin student sues Oxford univarsity for boring teaching,An Indian-origin student has sued Oxford University for “boring” teaching which allegedly resulted in him getting a second class degree and in turn led to loss of earnings in his career as a lawyer.,http://www.financialexpress.com/jobs/indian-origin-student-sues-oxford-univarsity-for-boring-teaching/463806/,PTI ," December 4, 2016 6:20 PM"
"Haryana Board makes Aadhar Card a must for class 10,12 students",The initiative will help students prevent forgery of certificates and impersonation cases and will further ensure that the details of students are complete and accurate.,http://www.financialexpress.com/jobs/haryana-board-makes-aadhar-card-a-must-for-class-1012-students/461828/,FE Online ," December 2, 2016 1:07 AM"
"475 posts vacant at MCA, CCI, SFIO: Govt","As many as 475 posts at various levels are lying vacant at the Ministry of Corporate Affairs including Competition Commission of India (CCI) and Serious Fraud Investigation Office (SFIO), Parliament was informed today.",http://www.financialexpress.com/jobs/475-posts-vacant-at-mca-cci-sfio-govt/462603/,PTI ," December 2, 2016 5:24 PM"
IIT-Bombay girl Aditi Laddha bags top US job from Uber International,An IIT Bombay girl Aditi Laddha has landed a top US job during during this year’s campus placement that commenced on December 1. ,http://www.financialexpress.com/jobs/iit-bombay-girl-aditi-laddha-bags-top-us-job-from-uber-international/464524/,FE Online ," December 5, 2016 1:21 PM"
TSPSC Group 2 exam 2016: Telangana State Public Service Commission releases answer key to group 2 exam 2016; check tspsc.gov.in,"The recruitment examination was conducted to fill a total of 1,032 vacancies. As per the reports, about 8.18 lakh candidates applied for the exam, out of which, 7,89,985 candidates are likely to appear in 1,911 test venues across the state.",http://www.financialexpress.com/jobs/tspsc-group-2-exam-2016-telangana-state-public-service-commission-releases-answer-key-to-group-2-exam-2016-check-tspsc-gov-in/462500/,FE Online ," December 2, 2016 3:57 PM"
IIT-Kanpur student offered Rs 1.5 crore package from Microsoft,"The newly hired will work on designing a software, implement it and fix the bugs. The company has offered the position at it’s headquarters based in Redmond, United States.",http://www.financialexpress.com/jobs/iit-kanpur-student-offered-rs-1-5-crore-package-from-microsoft/463583/,FE Online ," December 4, 2016 6:01 AM"
Coaching institution’s print advertisement claims Kota to be the ‘Suicide Capital of India’,"In a bizarre advertisement published at the front page of an English daily, Kota, a hub of coaching centers for the engineering and medical entrance examinations, was described as the ‘Suicide Capital of India’.",http://www.financialexpress.com/jobs/coaching-institutions-print-advertisement-claims-kota-to-be-the-suicide-capital-of-india/463658/,FE Online ," December 4, 2016 12:25 PM"
"In an online poll conducted by CBSE, 85% teachers want 10th class board exam pattern back","The Central government has left the State governments to take a final decision in their respective states. However, Union HRD Minister Prakash Javadekar is keen on making the class X board examination mandatory",http://www.financialexpress.com/jobs/in-an-online-poll-conducted-by-cbse-85-teachers-want-10th-class-board-exam-pattern-back/456416/,FE Online ," November 25, 2016 9:15 PM"
Gig economy has arrived in India: On-demand model being adopted by workers across generations,"A gig economy, an environment in which temporary positions are common, can be the answer to talent supply challenges faced by professional or technology sectors",http://www.financialexpress.com/jobs/gig-economy-has-arrived-in-india-on-demand-model-being-adopted-by-workers-across-generations/457541/,NA,"November 28, 2016 6:00 AM"
Hiring/retaining talent at ad agencies: Process harmed by absence of mechanism to spot talent,"Whenever someone mentions the phrase ‘talent crunch’, an agency’s recruiting angel loses her wings. The worst thing to happen to agencies still remains starting to lose talent to organisations and sectors that could have never been considered as…",http://www.financialexpress.com/jobs/hiringretaining-talent-at-ad-agencies-process-harmed-by-absence-of-mechanism-to-spot-talent/445771/,Shinmin Bali ," November 16, 2016 3:34 PM"
Cabinet approves opening of 62 Jawahar Navodaya Vidyalaya,The Cabinet Committee on Economic Affairs (CCEA) chaired by Prime Minister Narendra Modi today approved opening of one Jawahar Navodaya Vidyalaya (JNV) in each of the 62 uncovered districts.,http://www.financialexpress.com/jobs/cabinet-approves-opening-of-62-jawahar-navodaya-vidyalaya/454041/,PTI ," November 23, 2016 10:38 PM"
The dynamics of testing services in India,Computer-based and multi-day testing window ensures test takers have a chance to recover from personal challenges that could interfere with their career if there is just one test day.,http://www.financialexpress.com/jobs/the-dynamics-of-testing-services-in-india/444941/,NA,"November 14, 2016 6:01 AM"
Class 12 board exams in Jammu and Kashmir begin today; schools in border areas reopen,"The annual Class 12 board examinations in the Kashmir Valley will kick off today at nearly 480 examination centres set up for more than 45,000 candidates. ",http://www.financialexpress.com/jobs/class-12-board-exams-in-jammu-and-kashmir-begin-today-schools-in-border-areas-reopen/446040/,ANI ," November 15, 2016 9:57 AM"
Auto sector can generate 6.5 crore new jobs by 2026: Maruti,"Indian automobile industry can contribute over 12 per cent to the country’s GDP and generate around 6.5 crore additional jobs over the next decade, a top Maruti Suzuki India official said today.",http://www.financialexpress.com/jobs/auto-sector-can-generate-6-5-crore-new-jobs-by-2026-maruti/447190/,PTI ," November 16, 2016 2:38 PM"
"NIOS starts 7,472 service centres for online filling of exam forms","Linking the common man with the Digital India and Skill India programme, the National Institute of Open Schooling (NIOS) has started common service centres in all 38 districts of Bihar where students can fill forms for standard 12th and 10th examination. ",http://www.financialexpress.com/jobs/nios-starts-7472-service-centres-for-online-filling-of-exam-forms/447431/,PTI ," November 16, 2016 6:54 PM"
"Women entrepreneurship: As gender diversity gets priority at India Inc, here’s how business systems can get a big boost",Can a workforce dominated by women benefit the business ecosystem at a holistic level?,http://www.financialexpress.com/jobs/women-entrepreneurship-as-gender-diversity-gets-priority-at-india-inc-heres-how-business-systems-can-get-a-big-boost/450791/,NA,"November 21, 2016 6:02 AM"
SSC CGL 2016: How to prepare for SSC CGL Tier 2 exam 2016,There are many educational websites which guide the aspirants on how to pass the exam through instructional videos and mock tests in case they still feel nervous. It is not advisable to pick up any new study material in the days immediately preceding any exam as it can be confusing giving undue stress,http://www.financialexpress.com/jobs/ssc-nic-in-how-to-prepare-for-ssc-cgl-tier-2-exam-2016/453416/,FE Online ," November 23, 2016 4:18 PM"
What are we assessing our students for?,"Besides year-end exams, emphasis must be given to classroom assignments, project work, viva and practical. New Education Policy also talks about examination reforms.",http://www.financialexpress.com/jobs/what-are-we-assessing-our-students-for/444983/,Ambarish Datta ," November 14, 2016 6:03 AM"
"Now, Demonetisation set to cost 400,000 jobs","Industry is staring at temporary job losses due to demonetisation, as production gets hit, especially in labour-intensive sectors like textiles, garments, leather and jewellery. ",http://www.financialexpress.com/jobs/now-demonetisation-set-to-cost-400000-jobs/454305/,Banikinkar Pattanayak ," November 24, 2016 6:31 PM"
"Volkswagen to cut 30,000 jobs by 2021: Source","German carmaker Volkswagen and its powerful labour unions have agreed a turnaround plan involving 30,000 job cuts by 2021 at its core brand to boost profitability and fund a post-dieselgate shift to electric and self-drive cars, a source told Reuters on Friday.",http://www.financialexpress.com/jobs/volkswagen-to-cut-30000-jobs-by-2021-source/449008/,Reuters ," November 18, 2016 1:02 PM"
New infrastructure at ITI Bhaderwah for students’ convenience,The Jammu and Kashmir government is developing infrastructure across the state for the benefit of students at the Industrial Training Institute,http://www.financialexpress.com/jobs/new-infrastructure-at-iti-bhaderwah-for-students-convenience/450281/,ANI ," November 20, 2016 10:00 AM"
"Here’s how internships can aid classroom learning, create career roadmap",Internship in today’s times goes beyond simply supplementing classroom learning,http://www.financialexpress.com/jobs/heres-how-internships-can-aid-classroom-learning-create-career-roadmap/450767/,NA,"November 21, 2016 6:00 AM"
China exports eight-inch chips to India,"China’s leading locomotive maker, CRRC Zhuzhou Institute Co Ltd, has made the country’s first bulk export of eight-inch chips to India, the company said on Tuesday.",http://www.financialexpress.com/jobs/china-exports-eight-inch-chips-to-india/446347/,IANS ," November 23, 2016 4:29 PM"
"Rajasthan Panchayati Raj recruitment 2017: Govt announces 27,635 vacancies for gram panchayat sahayak; here’s how to apply; last date Nov 28","Rajasthan Panchayati Raj recruitment 2017: For anyone who has wanted a government job and has passed class 12, here’s some news that is sure to brighten your day",http://www.financialexpress.com/jobs/rajasthan-panchayati-raj-recruitment-2017-govt-announces-27635-vacancies-for-gram-panchayat-sahayak-heres-how-to-apply-last-date-nov-28-rajeduboard-rajasthan-gov-in/453319/,FE Online ," November 23, 2016 4:18 PM"
Admit cards out for Institute of Foreign Trade MBA exam 2016,The exam duration will be two hours with no sectional time limit and there will be negative marking in 1/3rd ratio.,http://www.financialexpress.com/jobs/admit-cards-out-for-institute-of-foreign-trade-mba-exam-2016/446694/,FE Online ," November 16, 2016 1:22 AM"
"University of Hyderabad PhD student slits wrist, hospitalised","A PhD student of the University of Hyderabad (UoH) today slit his wrist apparently due to exam pressure, varsity officials said. ",http://www.financialexpress.com/jobs/university-of-hyderabad-phd-student-slits-wrist-hospitalised/449606/,PTI ," November 19, 2016 4:10 AM"
Digital automation will divide job market: Suresh Prabhu,"Railway Minister Suresh Prabhu today said digital automation will give rise to a job market increasingly segregated into “low-skill and low-pay” and “high-skill and high-pay” segments, which in turn could lead to an increase in social tension.",http://www.financialexpress.com/jobs/digital-automation-will-divide-job-market-suresh-prabhu/453964/,PTI ," November 23, 2016 8:28 PM"
"One examination, one fee, one course transparent admissions process for SRM University","The application for the B.Tech admission for the academic year 2017 in SRM University is being launched on Saturday, 19thNovember 2016.",http://www.financialexpress.com/jobs/one-examination-one-fee-one-course-transparent-admissions-process-for-srm-university/451148/,ANI ," November 21, 2016 1:11 PM"
An outlook into hiring trends in BFSI,"With the start of 2016, the predictions for BFSI sector were quite favourable. This reflected in hiring in BFSI as well, with the financial year 2015 already proving this sector to be one of the top performers. ",http://www.financialexpress.com/jobs/an-outlook-into-hiring-trends-in-bfsi/445414/,NA,"November 14, 2016 2:36 PM"
Attrition control : Here’s how ad agencies can smarten up and fix the talent leak,Hiring and retaining good talent has always been the advertising industry’s biggest priority. But the issue has gotten more accentuated in the past decade. There are many more career options today for young advertising minds.,http://www.financialexpress.com/jobs/attrition-control-heres-how-ad-agencies-can-smarten-up-and-fix-the-talent-leak/445776/,NA,"November 15, 2016 6:05 AM"
DIPP on hiring spree to speed up patent clearances,"﻿Long criticised for the huge delay in clearing patent applications, the government is on a hiring spree.",http://www.financialexpress.com/jobs/dipp-on-hiring-spree-to-speed-up-patent-clearances/454298/,Banikinkar Pattanayak ," November 24, 2016 6:20 AM"
How technology makes good teachers better,Augmented classroom learning is as important as increasing participation from students.,http://www.financialexpress.com/jobs/how-technology-makes-good-teachers-better/444980/,Ritesh Singh ," November 14, 2016 6:02 AM"
CBSE UGC NET 2016 examination results declared; log on to cbseresults.nic.in to check yours,The examination is conducted twice a year to pick candidates for the jobs of assistant Professor/Lecturer and for Junior Research Fellowships (JRF) in government colleges and universities across the country. ,http://www.financialexpress.com/jobs/cbse-ugc-net-july-examination-2016-results-declared-log-on-to-cbseresults-nic-in-to-check-yours/451615/,FE Online ," November 21, 2016 8:45 PM"
"L&T sacks 14,000 staff due to digitisation, slowdown in one of India’s biggest ever layoffs","Faced with economic challenges, engineering major Larsen & Toubro (L&T) has laid off 14,000 employees across businesses during April-September period this year, saying it was necessary to stay “agile and competitive”. ",http://www.financialexpress.com/jobs/lt-sacks-14000-staff-due-to-digitisation-slowdown-in-one-of-indias-biggest-ever-layoffs/453392/,PTI ," November 23, 2016 6:40 PM"
IBPS RRB Officers Scale 1 Pre Exam 2016 Score Card released at ibps.in,"Excerpt: IBPS RRB Officers Scale Result: The online examination was held on November 5 and November 6. Candidates, who wish to check their marks, can log on the official website of IBPS until December 11, 2016.",http://www.financialexpress.com/jobs/ibps-rrb-officers-scale-1-pre-exam-2016-score-card-released-at-ibps-in/453916/,FE Online ," November 23, 2016 7:17 PM"
Can artificial intelligence create jobs?,"Artificial intelligence, a term coined by John McCarthy in 1955, is transforming us into an automated and machine-driven society. ",http://www.financialexpress.com/jobs/can-artificial-intelligence-create-jobs/450788/,NA,"November 21, 2016 6:01 AM"
RRB NTPC results 2016 likely in first week of November; 2nd stage exam thereafter,"RRB NTPC results 2016: Results for the Non-Technical Popular Category (NTPC) examinations of Railway Recruitment Board (RRB), which was expected to be announced in October, will be declared in first or second week of November by Board. ",http://www.financialexpress.com/jobs/rrb-ntpc-results-2016-likely-in-first-week-of-november-2nd-stage-exam-thereafter/434752/,FE Online ," October 31, 2016 4:41 PM"
Oliver Hart and Bengt Holmström showed that it is impossible to design a ‘complete contract’,"Hart & Holmström belong to a generation of economists who used complex mathematical arguments to predict outcomes. Not only did they have on offer rich insights about mechanics of contractual agreements, but also provided the discipline with fundamental tools of analyses, which form one of the methodological bedrocks in economics ",http://www.financialexpress.com/jobs/oliver-hart-and-bengt-holmstrom-showed-that-it-is-impossible-to-design-a-complete-contract/434171/,NA,"October 31, 2016 6:29 AM"
Women in India work 50 days a year more than men: Report,"Women across the world work on average 39 more days a year than men, with females in India working over 50 days extra compared to their male counterparts, a new report has found.",http://www.financialexpress.com/jobs/women-in-india-work-50-days-a-year-more-than-men-report/432271/,PTI ," October 27, 2016 7:45 PM"
IIM-Lucknow announces 100 per cent placement at Noida campus," In a major achievement, the institute announced 100 per cent summer placements of its second batch of 19 students pursuing the Post Graduate Programme in Sustainable Management.",http://www.financialexpress.com/jobs/iim-lucknow-announces-100-per-cent-placement-at-noida-campus/438383/,FE Online ," November 4, 2016 5:06 PM"
